"labid","age","error","depth","cc"
"Core top_18510",-60,20,0,0
"European settlement horizon_18511",100,20,8.5,0
"Radiocarbon_18512",680,40,28.5,1
"Radiocarbon_18513",820,40,41.5,1
"Radiocarbon_18514",1070,50,55.5,1
"Radiocarbon_18515",1730,35,58.5,1
"Radiocarbon_18516",2060,50,63.5,1
"Radiocarbon_18517",2630,50,77.5,1
"Radiocarbon_18518",1680,35,82.5,1
"Radiocarbon_18519",3790,50,94.5,1
"Radiocarbon_18520",4237,53,102.5,1
"Radiocarbon_18521",4510,50,103.5,1
"Radiocarbon_18522",4330,40,106.5,1
"Radiocarbon_18523",4370,40,110.5,1
"Radiocarbon_18524",4424,52,116.5,1
"Radiocarbon_18525",4460,40,118.5,1
"Radiocarbon_18526",4650,40,121.5,1
"Radiocarbon_18527",4560,50,122.5,1
"Radiocarbon_18528",4640,40,126.5,1
"Radiocarbon_18529",5540,40,127.5,1
"Radiocarbon_18530",4820,40,131.5,1
"Radiocarbon_18531",5150,40,139.5,1
"Radiocarbon_18532",5810,40,175.5,1
"Radiocarbon_18533",6090,60,219.5,1
