"SITE","PLOT","TAG","SPP","CanopyClass","DBH16"
"Tenderfoot Bog","B","1906","PIMA","co-dominant",38.2
"Tenderfoot Bog","B","1907","ABBA","co-dominant",27.5
"Tenderfoot Bog","B","1908","PIMA","co-dominant",21.5
"Tenderfoot Bog","B","1909","PIMA","suppressed",12.4
"Tenderfoot Bog","B","1910","PIMA","co-dominant",31.7
"Tenderfoot Bog","B","1911","BEPA","co-dominant",39.8
"Tenderfoot Bog","B","1912","ABBA","co-dominant",22.7
"Tenderfoot Bog","B","1913","ABBA","intermediate",13
"Tenderfoot Bog","B","1914","POTR","dead",13.3
"Tenderfoot Bog","B","1915","POTR","co-dominant",26.2
"Tenderfoot Bog","B","1916","POTR","co-dominant",11.6
"Tenderfoot Bog","B","1917","POTR","co-dominant",14.9
"Tenderfoot Bog","B","1918","POTR","dominant",32
"Tenderfoot Bog","B","1919","PIMA","dead",27.3
"Tenderfoot Bog","B","1920","POTR","co-dominant",12.7
"Tenderfoot Bog","B","1921","ABBA","co-dominant",19.2
"Tenderfoot Bog","B","1922","PIMA","dead",36.6
"Tenderfoot Bog","B","1923","POTR","dominant",39.9
"Tenderfoot Bog","B","1924","PIMA","dead",31.3
"Tenderfoot Bog","B","1925","ACRU","co-dominant",15.3
"Tenderfoot Bog","B","1926","PIMA","dead",10.5
"Tenderfoot Bog","B","1927","PIMA","dead",15.4
"Tenderfoot Bog","B","1928","PIMA","co-dominant",12.9
"Tenderfoot Bog","B","1929","PIMA","intermediate",13.6
"Tenderfoot Bog","B","1930","PIMA","dead",10.4
"Tenderfoot Bog","B","1931","BEPA","co-dominant",17
"Tenderfoot Bog","B","1932","PIMA","co-dominant",14.7
"Tenderfoot Bog","B","1933","PIMA","co-dominant",14.5
"Tenderfoot Bog","B","1934","PIMA","dead",10.4
"Tenderfoot Bog","A","1935","ABBA","intermediate",10
"Tenderfoot Bog","A","1936","ABBA","intermediate",24.7
"Tenderfoot Bog","A","1937","ACRU","co-dominant",16.7
"Tenderfoot Bog","A","1938","ABBA","co-dominant",13.3
"Tenderfoot Bog","A","1939","ABBA","intermediate",12.8
"Tenderfoot Bog","A","1940","ABBA","co-dominant",22.6
"Tenderfoot Bog","A","1941","ACRU","intermediate",20.2
"Tenderfoot Bog","A","1942","PIMA","suppressed",23.8
"Tenderfoot Bog","A","1943","PIMA","intermediate",15.9
"Tenderfoot Bog","B","1944","ACRU","co-dominant",15.6
"Tenderfoot Bog","A","1945","PIMA","dead",12.3
"Tenderfoot Bog","A","1946","BEPA","dominant",30
"Tenderfoot Bog","A","1947","PIMA","dominant",28.7
"Tenderfoot Bog","A","1948","ABBA","intermediate",10.7
"Tenderfoot Bog","A","1949","PIMA","suppressed",10.5
"Tenderfoot Bog","A","1950","ACRU","co-dominant",13.1
"Tenderfoot Bog","A","1951","ABBA","intermediate",13
"Tenderfoot Bog","A","1952","ACSA","co-dominant",10.5
"Tenderfoot Bog","A","1953","ABBA","intermediate",11.8
"Tenderfoot Bog","A","1954","ACRU","co-dominant",11.7
"Tenderfoot Bog","A","1955","PIMA","dead",38.4
"Tenderfoot Bog","A","1956","POTR","snag",47.5
"Tenderfoot Bog","A","1957","ACRU","co-dominant",15.4
"Tenderfoot Bog","A","1958","PIMA","dead",28.5
"Tenderfoot Bog","A","1959","PIMA","co-dominant",49
"Tenderfoot Bog","B","1960","ACRU","co-dominant",23.7
"Tenderfoot Bog","A","1961","PIMA","intermediate",14.5
"Tenderfoot Bog","A","1962","POTR","dominant",32.5
"Tenderfoot Bog","A","1963","PIMA","intermediate",17.2
"Tenderfoot Bog","A","1964","PIMA","suppressed",10.1
"Tenderfoot Bog","A","1965","PIMA","snag",38.7
"Tenderfoot Bog","A","1966","PIMA","intermediate",12.25
"Tenderfoot Bog","A","1967","ACRU","co-dominant",15.1
