sitenumber,sitename,depth,age,BEECH,BIRCH,CHESTNUT,HEMLOCK,HICKORY,MAPLE,OAK,PINE,SPRUCE,other
1,Aino,39,191,38,125,15,89,5,23,175,109,10.5,31.5
2,Benson,20,190,75,129,4,97,14,21,63,16.5,2,39
3,Berry W,96,183,58,136,8,31,6,19,125,48,7,52
4,Blood,72,235.9992,17,81,10,35,17,11,215,71,6,20
5,Doe,68,275.7024,20,71,7,44,7,8,205,99,3,40
6,Green,19,235.25,32,95,26,25,9,5,137,140,6.5,26.5
7,Larkum,44,209.0884,43,110,1,138,9,11,89,73,4,40
8,Lily NS,27,256.996,45,55,55,32,7,9,202,87,1.5,40
9,Lily W,31,205.9078,62,145,16,52,5,11,111,84,5.5,15
10,Little Bolton,38.5,264,17,86,18,16,11,8,289,61,5,16
11,Little Mirror,37,238.4193,30,57,11,33,1,7,197,137,9,27
12,Little Royalst,80,187,53,109,17,80,2,15,100,89,16,26
13,North Round,34.5,202.76905,51,166,49,76,4,9,75,87,4,15
14,North,16,167.008,136,149,3,117,8,19,59,41,9,28
15,Otter,100.5,170.79865,40,109,20,72,8,8,125,88,6,13
16,Pecker,49,228.552,81,154,42,50,6,12,84,59,6,24
17,Pickerel,100,290,18,64,3,30,20,6,162,172,5,31
18,Quag,22,182.704,58,129,6,99,2,9,108,81,17,15
19,Silver,37,208.1577,39,111,6,30,2,9,119,104,2,17
20,Snake,29,191.425,54,127,8,71,3,10,106,107,15,19
21,Uncas,60,290,19,75,10,28,22,10,248,51,7,31
22,Walden,32,314.98,21,76,4,28,17,6,176,125,12,27
23,Wickett,37.5,162.5956,71,111,57,74,5,17,86,82,2,23
